669,233,669,193,800,193,800,233
641,706,610,706,610,679,641,679
490,510,490,484,537,484,537,510
506,662,506,635,628,635,628,662
484,234,484,198,628,198,628,234
464,788,464,769,555,769,555,788
739,785,739,766,831,766,831,785
594,713,460,713,460,685,594,685
778,662,693,662,693,637,778,637
785,554,718,554,718,525,785,525
674,661,641,661,641,636,674,636
592,599,592,577,681,577,681,599
701,554,633,554,633,526,701,526
552,510,552,480,803,480,803,510
566,788,566,767,730,767,730,788
618,559,524,559,524,533,618,533
659,711,659,679,832,679,832,711
