981,2160,981,2062,1146,2062,1146,2160
2538,1580,2538,1499,2880,1499,2880,1580
2980,1700,2813,1700,2813,1618,2980,1618
1802,287,1802,189,2183,189,2183,287
1189,2155,1189,2053,1462,2053,1462,2155
2964,2064,2964,1965,3054,1965,3054,2064
2389,1585,2389,1500,2494,1500,2494,1585
949,1119,949,905,1221,905,1221,1119
2389,1329,2389,1240,2785,1240,2785,1329
1924,1102,1924,905,2746,905,2746,1102
935,321,935,180,1716,181,1716,321
2387,1469,2387,1369,3028,1369,3028,1469
2413,1731,2413,1627,2781,1627,2781,1731
1032,796,1032,579,2025,579,2025,796
1332,1097,1332,912,1777,912,1777,1097
2157,801,2157,589,2761,589,2761,801
