316,450,316,415,336,415,336,450
346,385,346,351,365,351,365,385
405,386,405,352,424,352,424,386
600,385,580,385,580,355,600,355
436,451,436,416,454,416,454,451
486,451,465,451,465,417,486,417
605,454,584,454,584,419,605,419
571,388,550,388,550,354,571,354
541,387,522,387,522,353,541,353
128,386,18,386,18,346,128,346
638,454,616,454,616,420,638,420
424,449,405,449,405,416,424,416
15,448,15,399,255,399,255,448
330,380,323,380,323,351,330,351
515,452,496,452,496,418,515,418
447,384,440,384,440,356,447,356
