367,458,337,458,337,429,367,429
168,744,168,725,210,725,210,744
64,907,64,880,317,880,317,907
380,455,380,433,478,433,478,455
320,745,320,724,398,724,398,745
208,656,168,656,168,636,208,636
282,799,282,780,349,780,349,799
174,457,174,430,327,430,327,457
477,855,421,855,421,833,477,833
260,853,260,833,305,833,305,853
210,606,168,606,168,583,210,583
170,852,170,832,245,832,245,852
220,657,220,636,312,636,312,657
173,1009,173,988,291,988,291,1009
518,910,427,910,427,885,518,885
258,715,166,715,166,692,258,692
405,854,321,854,321,832,405,832
409,908,341,908,341,884,409,884
412,746,412,727,500,727,500,746
225,605,225,583,315,583,315,605
400,715,400,693,489,693,489,715
381,714,273,714,273,688,381,688
268,799,168,799,168,777,268,777
309,746,220,746,220,723,309,723
