779,1346,779,1213,910,1213,910,1346
1548,1839,1548,1654,1936,1654,1936,1839
1570,1691,1570,1338,2424,1338,2424,1691
818,2128,818,1841,1662,1841,1662,2128
2302,2250,2302,1953,3083,1953,3083,2250
1013,2484,1013,2314,1416,2314,1416,2484
2733,2961,2733,2774,3111,2774,3111,2961
820,2872,820,2582,1899,2582,1899,2872
1915,2912,1915,2655,2693,2655,2693,2912
2832,2422,2832,2286,3095,2286,3095,2422
2473,2596,2473,2432,2889,2432,2889,2596
2315,2430,2315,2235,2789,2235,2789,2430
2494,1730,2494,1550,2958,1550,2958,1730
