1265,1545,1265,1346,2081,1346,2081,1545
448,2399,448,2204,1218,2204,1218,2399
501,1377,501,1289,597,1289,597,1377
482,1935,482,1753,1261,1753,1261,1935
421,2574,421,2436,908,2436,908,2574
2027,1949,2027,1748,2836,1748,2836,1949
468,2080,468,1974,1015,1974,1015,2080
2642,2601,2642,2479,2817,2479,2817,2601
1001,2569,1001,2444,1198,2444,1198,2569
1930,2596,1930,2480,2468,2480,2468,2596
1984,2447,1984,2228,2844,2228,2844,2447
1386,2198,1386,2095,1870,2095,1870,2198
1671,1685,1671,1572,2068,1572,2068,1685
2855,2104,2638,2104,2638,1972,2855,1972
2022,2084,2022,1994,2492,1994,2492,2084
