831,837,831,739,1176,739,1176,837
1101,674,1101,570,1437,570,1437,674
1055,1124,1055,1080,1180,1080,1180,1124
848,622,848,561,897,561,897,622
1261,723,1095,723,1095,679,1261,679
822,1079,822,975,1167,975,1167,1079
1825,1114,1825,1068,1956,1068,1956,1114
1352,1160,1352,1068,1639,1068,1639,1160
1828,1055,1828,961,2179,961,2179,1055
1565,658,1565,560,1908,560,1908,658
2059,1110,2059,1065,2190,1065,2190,1110
1823,873,1823,828,1925,828,1925,873
832,893,832,851,935,851,935,893
1063,893,1063,844,1184,844,1184,893
1828,824,1828,725,2162,725,2162,824
1799,705,1799,660,1920,660,1920,705
