999,641,870,641,870,568,999,568
516,1215,516,1139,658,1139,658,1215
1599,1306,1599,1240,1748,1240,1748,1306
1524,626,1524,552,1833,552,1833,626
488,833,488,683,913,683,913,833
1862,624,1862,555,1984,555,1984,624
812,546,812,412,1237,412,1237,546
1086,630,1086,561,1231,561,1231,630
1957,1298,1826,1298,1826,1237,1957,1237
729,1208,729,1140,901,1140,901,1208
472,1126,472,983,929,983,929,1126
498,918,498,845,668,845,668,918
1525,538,1525,401,2000,401,2000,538
533,521,426,521,426,414,533,414
905,908,754,908,754,838,905,838
1400,998,1400,898,1700,898,1700,998
