1080,1243,1080,923,1815,923,1815,1243
2024,1359,2024,1064,2710,1064,2710,1359
1708,2029,1708,1861,2138,1861,2138,2029
2075,1409,2075,1376,2560,1376,2560,1409
1101,1373,1101,1160,1630,1160,1630,1373
1042,1655,1042,1346,1804,1346,1804,1655
1095,1269,1095,1225,1582,1225,1582,1269
2085,1505,2085,1300,2574,1300,2574,1505
2336,1863,2336,1769,2515,1769,2515,1863
1045,1733,1045,1589,1359,1589,1359,1733
2028,1766,2028,1504,2744,1504,2744,1766
2573,1888,2573,1791,2709,1791,2709,1888
1405,1775,1405,1646,1670,1646,1670,1775
