1416,421,1416,357,1682,357,1682,421
1216,627,1216,595,1387,595,1387,627
1229,721,1229,646,1493,646,1493,721
1346,758,1244,758,1244,725,1346,725
1362,759,1362,727,1456,727,1456,759
2256,732,1977,732,1977,648,2256,648
2114,765,2002,765,2002,732,2114,732
1737,785,1648,785,1648,758,1737,758
1831,788,1747,788,1747,759,1831,759
1778,426,1778,353,2037,353,2037,426
2244,769,2131,769,2131,734,2244,734
2080,1917,2045,1917,2045,1875,2080,1875
1222,594,1222,514,1496,514,1496,594
1995,639,1995,598,2113,598,2113,639
