2519,3136,2519,3003,2990,3003,2990,3136
2465,2954,2465,2675,3342,2675,3342,2954
443,1624,443,1475,583,1475,583,1624
456,2913,456,2650,1628,2650,1628,2913
3064,3139,3064,2999,3263,2999,3263,3139
2043,1881,2043,1597,2892,1597,2892,1881
2825,2059,2630,2059,2630,1925,2825,1925
484,3096,484,2933,1101,2933,1101,3096
1514,2043,1514,1907,1713,1907,1713,2043
1596,2468,1596,2276,2189,2276,2189,2468
926,1853,926,1587,1764,1587,1764,1853
1008,2065,1008,1894,1455,1894,1455,2065
2067,2053,2067,1928,2556,1928,2556,2053
1358,3088,1358,2973,1521,2973,1521,3088
