1968,415,1968,315,2319,315,2319,415
1476,756,1476,655,1806,655,1806,756
1072,483,970,483,970,436,1072,436
2337,700,2213,700,2213,660,2337,660
1983,704,1983,658,2083,658,2083,704
968,235,968,183,1023,183,1023,235
1660,1914,1660,1882,1956,1882,1956,1914
967,671,967,567,1392,567,1392,671
1279,715,1279,678,1404,678,1404,715
1979,649,1979,545,2328,545,2328,649
963,449,963,332,1326,332,1326,449
1261,718,957,718,957,678,1261,678
1673,1834,1673,1813,1763,1813,1763,1834
1771,1831,1771,1810,1829,1810,1829,1831
1201,478,1201,435,1325,435,1325,478
1969,465,1969,426,2121,426,2121,465
2201,459,2201,422,2328,422,2328,459
