2733,1877,2733,1646,3922,1646,3922,1877
1402,2170,1402,2019,1625,2019,1625,2170
572,1943,572,1731,1660,1731,1660,1943
901,2178,901,2046,1301,2046,1301,2178
3704,2096,3704,1947,3950,1947,3950,2096
1804,2478,1804,2311,2419,2311,2419,2478
726,2130,726,2037,868,2037,868,2130
1848,1445,1848,1174,2661,1174,2661,1445
558,1332,558,1224,710,1224,710,1332
462,2198,462,2047,716,2047,716,2198
919,1934,919,1891,1229,1891,1229,1934
4184,63,4184,3,4381,3,4381,63
1852,1625,1852,1481,2596,1481,2596,1625
2713,2136,2713,1984,3546,1984,3546,2136
