2711,2589,2711,2448,3201,2448,3201,2589
797,2415,797,2145,1870,2145,1870,2415
1122,2082,1122,1933,1428,1933,1428,2082
1897,2077,1897,1929,2135,1929,2135,2077
3044,3149,3044,2976,3350,2976,3350,3149
2496,2065,2496,1951,2936,1951,2936,2065
1507,3269,1129,3269,1129,3189,1507,3189
802,1709,802,1588,927,1588,927,1709
1118,1910,1118,1638,1832,1638,1832,1910
962,2605,962,2466,1202,2466,1202,2605
2500,1894,2500,1637,3500,1637,3500,1894
2743,2392,2743,2149,3599,2149,3599,2392
1623,2596,1623,2443,1862,2443,1862,2596
3301,3269,3301,3170,3380,3170,3380,3269
3067,2069,3067,1927,3497,1927,3497,2069
3290,2582,3290,2454,3606,2454,3606,2582
