1700,957,1700,864,1797,864,1797,957
3406,1097,3333,1097,3333,1008,3406,1008
1935,1283,1935,1140,2276,1140,2276,1283
1966,1919,1966,1805,2195,1805,2195,1919
2658,1219,2658,998,3167,998,3167,1219
2325,1286,2325,1175,2446,1175,2446,1286
1941,1167,1941,943,2472,943,2472,1167
2647,1848,2647,1665,3344,1665,3344,1848
2271,1932,2271,1839,2431,1839,2431,1932
2747,1324,2747,1200,3007,1200,3007,1324
1937,1798,1937,1610,2484,1610,2484,1798
3081,1986,3081,1881,3296,1881,3296,1986
2700,1960,2700,1855,2837,1855,2837,1960
2878,1967,2878,1874,3043,1874,3043,1967
3026,1330,3026,1235,3125,1235,3125,1330
2431,3230,2431,2959,3005,2959,3005,3230
