1558,411,1558,362,1703,362,1703,411
1426,493,1426,448,1585,448,1585,493
1971,610,1941,610,1941,588,1971,588
1488,608,1488,587,1512,587,1512,608
2021,610,1990,610,1990,588,2021,588
1933,493,1933,447,2090,447,2090,493
1434,365,1434,348,1450,348,1450,365
1473,609,1434,609,1434,587,1473,587
1977,518,1977,495,2029,495,2029,518
1937,582,1937,534,2086,534,2086,582
1432,583,1432,535,1580,535,1580,583
2036,610,2036,587,2090,587,2090,610
1526,608,1526,586,1578,586,1578,608
1807,407,1807,356,1968,356,1968,407
